iter	Passed	Remaining
0	48	48698
1	74	37323
2	106	35518
3	128	32111
4	149	29780
5	167	27718
6	188	26682
7	200	24800
8	221	24442
9	231	22936
10	252	22674
11	272	22473
12	291	22166
13	305	21523
14	319	20967
15	339	20874
16	358	20738
17	379	20681
18	388	20034
19	408	20035
20	430	20063
21	450	20034
22	469	19952
23	480	19531
24	494	19291
25	511	19166
26	532	19200
27	555	19281
28	576	19313
29	592	19162
30	614	19207
31	637	19283
32	658	19302
33	688	19574
34	711	19607
35	715	19171
36	735	19139
37	757	19176
38	780	19239
39	831	19960
40	843	19722
41	864	19710
42	885	19700
43	904	19653
44	924	19617
45	944	19580
46	964	19552
47	985	19541
48	1005	19509
49	1019	19362
50	1038	19317
51	1058	19293
52	1078	19268
53	1098	19246
54	1119	19238
55	1144	19300
56	1166	19293
57	1187	19287
58	1208	19275
59	1225	19197
60	1247	19208
61	1267	19181
62	1286	19133
63	1306	19103
64	1325	19069
65	1346	19057
66	1366	19031
67	1386	18998
68	1405	18968
69	1426	18945
70	1444	18906
71	1467	18913
72	1487	18891
73	1506	18855
74	1528	18849
75	1547	18819
76	1569	18814
77	1591	18810
78	1613	18805
79	1633	18788
80	1652	18750
81	1674	18742
82	1692	18702
83	1705	18595
84	1719	18510
85	1742	18516
86	1766	18534
87	1789	18547
88	1803	18456
89	1826	18466
90	1849	18479
91	1884	18603
92	1902	18558
93	1907	18388
94	1933	18416
95	1952	18386
96	1964	18286
97	1973	18168
98	1995	18160
99	2012	18113
100	2033	18098
101	2055	18099
102	2078	18104
103	2099	18090
104	2120	18075
105	2143	18074
106	2162	18048
107	2182	18022
108	2202	18002
109	2222	17979
110	2229	17859
111	2249	17837
112	2269	17814
113	2289	17793
114	2330	17935
115	2350	17914
116	2376	17931
117	2399	17933
118	2424	17947
119	2444	17927
120	2466	17914
121	2489	17912
122	2509	17895
123	2536	17917
124	2560	17921
125	2581	17905
126	2593	17824
127	2616	17825
128	2641	17836
129	2664	17830
130	2676	17753
131	2697	17737
132	2713	17689
133	2733	17666
134	2754	17650
135	2776	17639
136	2799	17632
137	2821	17621
138	2843	17613
139	2866	17606
140	2889	17600
141	2910	17585
142	2931	17570
143	2955	17566
144	2966	17491
145	2987	17476
146	3002	17419
147	3010	17331
148	3034	17334
149	3052	17294
150	3073	17283
151	3096	17276
152	3116	17253
